TITLE,SERVINGSIZE,AUTHOR,INGREDIENTS,STEPS
Greek Salad,6,Meesh,"['1 head romaine lettuce- rinsed, dried and chopped', '1  cucumber, sliced', '2 large tomatoes, chopped', '1 (6 ounce) can pitted black olives', '1  green bell pepper, chopped', '1  red bell pepper, chopped', '1  red onion, thinly sliced', '1 cup crumbled feta cheese', '6 tablespoons olive oil', '1  lemon, juiced', '1 teaspoon dried oregano', 'ground black pepper to taste']","['Combine romaine, cucumber, tomatoes, olives, bell peppers, and red onion in a large bowl; sprinkle with feta cheese.', 'Dotdash Meredith Food Studios', 'Whisk olive oil, lemon juice, oregano, and black pepper together in a small bowl. Pour dressing over salad, toss well to combine, and serve.', 'Dotdash Meredith Food Studios', 'Pour dressing over salad, toss well to combine, and serve.', 'DOTDASH MEREDITH FOOD STUDIOS']"
Cobb Salad,6,Barrett,"['6 slices bacon', '3  eggs', '1 head iceberg lettuce, shredded', '3 cups chopped, cooked chicken meat', '2  tomatoes, seeded and chopped', '¾ cup blue cheese, crumbled', '3  green onions, chopped', '1  avocado - peeled, pitted and diced', '1 (8 ounce) bottle Ranch-style salad dressing']","['Place eggs in a saucepan and cover completely with cold water; bring to a boil, then cover and remove from heat. Let eggs sit for 10 to 12 minutes, then cool, peel and chop.', 'Dotdash Meredith Food Studios', 'Dotdash Meredith Food Studios', 'Dotdash Meredith Food Studios', 'Drizzle with dressing.', 'DOTDASH MEREDITH FOOD STUDIOS']"
Homemade Mac and Cheese,4,Judy,"['8 ounces uncooked elbow macaroni', '¼ cup salted butter', '3 tablespoons all-purpose flour', '2 ½ cups milk, or more as needed', '2 cups shredded sharp Cheddar cheese', '½ cup finely grated Parmesan cheese', 'salt and ground black pepper to taste']","['Gather all ingredients. Preheat the oven to 350 degrees F (175 degrees C). Grease an 8-inch square baking dish.', 'Dotdash Meredith Food Studios', 'Dotdash Meredith Food Studios', 'Dotdash Meredith Food Studios', 'Dotdash Meredith Food Studios', 'Stir in shredded Cheddar and finely grated Parmesan cheeses; season with salt and pepper. Cook and stir over low heat until cheese is melted and sauce has thickened, 3 to 5 minutes, adding up to 1/2 cup more milk if needed.', 'Dotdash Meredith Food Studios', 'Pour cheese sauce over macaroni and stir until well combined.', 'Dotdash Meredith Food Studios', 'Dotdash Meredith Food Studios', 'Spread bread crumbs over macaroni and cheese, then sprinkle with paprika.', 'Dotdash Meredith Food Studios', 'Bake in the preheated oven until topping is golden brown and macaroni and cheese is bubbling, about 30 minutes.']"
Chicken Stir Fry,6,Katie Sechrist,"['4 cups water', '2 cups white rice', '⅔ cup low-sodium soy sauce, or to taste', '¼ cup brown sugar', '1 tablespoon cornstarch', '1 tablespoon minced fresh ginger', '1 tablespoon minced garlic', '¼ teaspoon red chili flakes', '3  skinless, boneless chicken breast halves, thinly sliced', '2 tablespoons sesame oil, divided', '1 head broccoli, broken into florets', '1  onion, cut into large chunks', '1 cup sliced carrots', '1 (8 ounce) can sliced water chestnuts, drained', '1  green bell pepper, cut into matchsticks']","['Heat 1 tablespoon sesame oil in a wok or large skillet over medium-high heat. Add broccoli, onion, carrots, water chestnuts, and bell pepper; cook and stir until just tender, about 5 minutes. Transfer vegetables into a dish; set aside.', 'Heat remaining 1 tablespoon sesame oil in the same wok or skillet over medium-high heat. Add chicken, reserving marinade, and cook until just browned, about 2 minutes per side; stir in vegetables and reserved marinade. Bring to a boil; cook and stir until chicken is no longer pink in the center and vegetables are tender, 5 to 7 minutes. Serve over rice.']"
Quick Beef Stir-Fry,4,inesgosner,"['2 tablespoons vegetable oil', '1 pound beef sirloin, cut into 2-inch strips', '1 ½ cups fresh broccoli florets', '1  red bell pepper, cut into matchsticks', '2  carrots, thinly sliced', '1  green onion, chopped', '1 teaspoon minced garlic', '2 tablespoons soy sauce', '2 tablespoons sesame seeds, toasted']","['Gather all ingredients.', 'Dotdash Meredith Food Studios', 'Heat vegetable oil in a large wok or skillet over medium-high heat; add beef and stir-fry until browned, 3 to 4 minutes.', 'Dotdash Meredith Food Studios', 'Stir beef into vegetables and season with soy sauce and sesame seeds. Continue to cook and stir until vegetables are tender, about 2 more minutes.', 'Dotdash Meredith Food Studios', 'Serve hot and enjoy!', 'DOTDASH MEREDITH FOOD STUDIOS']"
Stir-Fried Vegetables,6,Natasha Kay,"['2 tablespoons light soy sauce', '1 teaspoon ground ginger', '2 tablespoons all-purpose flour', '1 cup low-sodium chicken broth', '¼ cup cold water', '3 tablespoons vegetable oil', '4  green bell peppers, cut into matchsticks', '4  carrots, cut into matchsticks', '2 cups broccoli florets', '8  mushrooms, sliced']","['Combine soy sauce and ginger in a small bowl. Mix flour, chicken broth, and water together in another bowl.', 'Heat oil in a large skillet or wok over high heat. Add bell peppers, carrots, broccoli, and mushrooms, and stir-fry until just tender, about 3 minutes.', 'Add soy sauce mixture and toss to coat vegetables; stir-fry for 1 minute. Gradually stir in flour mixture. Bring to a boil and cook until thickened, about 3 minutes.']"
Shepherd's Pie,6,Jacquie,"['4 large potatoes, peeled and cubed', '1 tablespoon butter', '1 tablespoon finely chopped onion', '¼ cup shredded Cheddar cheese', 'salt and pepper to taste', '5  carrots, chopped', '1 tablespoon vegetable oil', '1  onion, chopped', '1 pound lean ground beef or lamb', '2 tablespoons all-purpose flour', '1 tablespoon ketchup', '¾ cup beef broth', '¼ cup shredded Cheddar cheese']","['Gather all ingredients.', 'Dotdash Meredith Food Studios', 'Dotdash Meredith Food Studios', 'Heat oil in a large frying pan. Add onion and cook until clear. Add ground beef and cook until well browned. Pour off excess fat, then stir in flour and cook 1 minute. Add ketchup and beef broth. Bring to a boil, reduce heat and simmer for 5 minutes.', 'Dotdash Meredith Food Studios', 'Spread the ground beef in an even layer on the bottom of a 2 quart casserole dish. Next, spread a layer of mashed carrots. Top with the mashed potato mixture and sprinkle with remaining shredded cheese.', 'Dotdash Meredith Food Studios', 'Bake in the preheated oven for 20 minutes, or until golden brown. Serve hot and enjoy!', 'Dotdash Meredith Food Studios']"
Homemade Spaghetti Sauce with Ground Beef,8,Hank's Mom,"['1 pound ground beef', '1 medium onion, chopped', '4 cloves garlic, minced', '1 small green bell pepper, diced', '1 (28 ounce) can diced tomatoes', '1 (16 ounce) can tomato sauce', '1 (6 ounce) can tomato paste', '2 teaspoons dried oregano', '2 teaspoons dried basil', '1 teaspoon salt', '½ teaspoon ground black pepper']","['Gather all ingredients.', 'Dotdash Meredith Food Studios', 'Combine ground beef, onion, garlic, and green pepper in a large saucepan over medium-high heat. Cook and stir until meat is browned and crumbly and vegetables are tender, 5 to 7 minutes. Drain grease.', 'Dotdash Meredith Food Studios', 'Stir diced tomatoes, tomato sauce, and tomato paste into the pan. Season with oregano, basil, salt, and pepper. Simmer spaghetti sauce for 1 hour, stirring occasionally.', 'Dotdash Meredith Food Studios', 'Serve hot and enjoy!', 'DOTDASH MEREDITH FOOD STUDIOS']"
World's Best Lasagna,12,John Chandler,"['1 pound sweet Italian sausage', '¾ pound lean ground beef', '½ cup minced onion', '2 cloves garlic, crushed', '1 (28 ounce) can crushed tomatoes', '2 (6.5 ounce) cans canned tomato sauce', '2 (6 ounce) cans tomato paste', '½ cup water', '2 tablespoons white sugar', '4 tablespoons chopped fresh parsley, divided', '1 ½ teaspoons dried basil leaves', '1 ½ teaspoons salt, divided, or to taste', '1 teaspoon Italian seasoning', '½ teaspoon fennel seeds', '¼ teaspoon ground black pepper', '12  lasagna noodles', '16 ounces ricotta cheese', '1  egg', '¾ pound mozzarella cheese, sliced', '¾ cup grated Parmesan cheese']","['Gather all your ingredients.', 'Dotdash Meredith Food Studios', 'Cook sausage, ground beef, onion, and garlic in a Dutch oven over medium heat until well browned.', 'Dotdash Meredith Food Studios', 'Stir in crushed tomatoes, tomato sauce, tomato paste, and water. Season with sugar, 2 tablespoons parsley, basil, 1 teaspoon salt, Italian seasoning, fennel seeds, and pepper. Simmer, covered, for about 1 ½ hours, stirring occasionally.', 'Dotdash Meredith Food Studios', 'Dotdash Meredith Food Studios', 'Dotdash Meredith Food Studios', 'Preheat the oven to 375 degrees F (190 degrees C).', 'Dotdash Meredith Food Studios', 'Repeat layers, and top with remaining mozzarella and Parmesan cheese. Cover with foil: to prevent sticking, either spray foil with cooking spray or make sure the foil does not touch the cheese.', 'Dotdash Meredith Food Studios', 'Bake in the preheated oven for 25 minutes. Remove the foil and bake for an additional 25 minutes.', 'Dotdash Meredith Food Studios', 'Rest lasagna for 15 minutes before serving.', 'Dotdash Meredith Food Studios']"
Chicken Parmesan,4,"By
 John Mitzewich
 






 

John Mitzewich




 


 

 
John Mitzewich — aka Chef John — has produced more than 1,500 cooking videos for Allrecipes. He's the actor, director, and screenwriter whose hands and voice confidently walk you through techniques.



Allrecipes' editorial guidelines","['4  skinless, boneless chicken breast halves', 'salt and freshly ground black pepper to taste', '2 large eggs', '1 cup panko bread crumbs, or more as needed', '¾ cup grated Parmesan cheese, divided', '2 tablespoons all-purpose flour, or more if needed', '½ cup olive oil for frying, or as needed', '½ cup prepared tomato sauce', '¼ cup fresh mozzarella, cut into small cubes', '¼ cup chopped fresh basil', '½ cup grated provolone cheese', '2 teaspoons olive oil']","['Gather the ingredients. Preheat an oven to 450 degrees F (230 degrees C).', 'Dotdash Meredith Food Studios', 'Place chicken breasts between two sheets of heavy plastic (resealable freezer bags work well) on a solid, level surface. Firmly pound chicken with the smooth side of a meat mallet to a thickness of 1/2-inch.', 'Dotdash Meredith Food Studios', 'Season chicken thoroughly with salt and pepper. Using a sifter or strainer; sprinkle flour over chicken breasts, evenly coating both sides', 'Dotdash Meredith Food Studios', 'Beat eggs in a shallow bowl and set aside. Mix bread crumbs and 1/2 cup Parmesan cheese in a separate bowl, set aside. Dip a flour-coated chicken breast in beaten eggs. Transfer breast to the bread crumb mixture, pressing crumbs into both sides. Repeat for each breast. Let chicken rest for 10 to 15 minutes.', 'Dotdash Meredith Food Studios', 'Heat 1/2 inch olive oil in a large skillet on medium-high heat until it begins to shimmer. Cook chicken in the hot oil until golden, about 2 minutes per side. The chicken will finish cooking in the oven.', 'Dotdash Meredith Food Studios', 'Dotdash Meredith Food Studios', 'Bake in the preheated oven until cheese is browned and bubbly and chicken breasts are no longer pink in the center, 15 to 20 minutes. An instant-read thermometer inserted into the center should read at least 165 degrees F (74 degrees C).', 'Dotdash Meredith Food Studios']"
"Classic, Hearty Beef Stew",8,Matthew Francis,"['1 (2 pound) boneless beef round steak, cut into 1-inch cubes', 'kosher salt and cracked black pepper to taste', '¼ cup all-purpose flour', '1 tablespoon smoked paprika', '1 tablespoon canola oil', '3 cups chopped onion', '6 cloves garlic, minced', '4 tablespoons tomato paste', '2 cups dry red wine', '1 tablespoon dried thyme', '1 tablespoon dried rosemary', '1 tablespoon herbes de Provence', '3  bay leaves', '2 cups beef broth, or more as needed', '1 tablespoon Worcestershire sauce', '3 cups chopped carrots', '3 cups cubed Yukon Gold potatoes', '1 cup fresh peas', '1 ½ teaspoons chopped fresh rosemary', '1 teaspoon chopped fresh thyme, or to taste']","['Gather all ingredients and preheat the oven to 350 degrees F (175 degrees C).', 'Dotdash Meredith Food Studios', 'Season beef with salt and pepper in a large bowl. Add flour and paprika and toss until evenly coated.', 'Dotdash Meredith Food Studios', 'Heat oil in a Dutch oven over medium-high heat. Working in batches, sear beef in hot oil, stirring occasionally, until well-browned, 10 to 11 minutes per batch. Transfer beef to a plate and leave drippings in the pot.', 'Dotdash Meredith Food Studios', 'Add onion to drippings; season with salt and pepper. Cook and stir until onion begins to caramelize, about 10 minutes. Add garlic and stir until fragrant, about 30 seconds.', 'Dotdash Meredith Food Studios', 'Stir in tomato paste; cook until it turns brown and begins to caramelize and stick to the bottom of the pan.', 'Dotdash Meredith Food Studios', 'Pour in red wine and bring to a boil while scraping the browned bits of food off the bottom of the pan with a wooden spoon. Cook until wine is almost evaporated, about 3 minutes.', 'Dotdash Meredith Food Studios', 'Add thyme, rosemary, herbes de Provence, and bay leaves. Stir in broth and Worcestershire sauce; bring to a boil.', 'Dotdash Meredith Food Studios', 'Dotdash Meredith Food Studios', 'Braise stew in the preheated oven until beef is almost tender, about 1 hour 30 minutes. Remove from the oven.', 'Add carrots, potatoes, and more beef broth if needed. Cover the pot and return to the oven to braise until beef and vegetables are tender, about 30 minutes more.', 'Dotdash Meredith Food Studios', 'Dotdash Meredith Food Studios']"
Easy Homemade Chili,6,Tobi Hargis,"['1 pound ground beef', '1  onion, chopped', '1 (15 ounce) can tomato sauce', '1 (15 ounce) can kidney beans', '1 (14.5 ounce) can stewed tomatoes', '1 ½ cups water, or as needed (Optional)', '1 teaspoon chili powder, or more to taste', '1 pinch garlic powder', 'salt and pepper to taste']","['Place ground beef and onion in a large saucepan over medium heat; cook and stir until meat is browned and onion is tender, about 5 to 7 minutes.', 'Stir in tomato sauce, kidney beans, and stewed tomatoes with juice. If you prefer a thinner consistency, you can add water. Season with chili powder, garlic powder, salt, and black pepper. Bring to a boil, reduce heat to low, cover and let simmer for 15 minutes.']"
Easy Fried Rice,8,jostrander,"['⅔ cup chopped baby carrots', '½ cup frozen green peas', '2 tablespoons vegetable oil', '1 clove garlic, minced, or to taste (Optional)', '2 large eggs', '3 cups leftover cooked and chilled white rice', '1 tablespoon soy sauce, or more to taste', '2 teaspoons sesame oil, or to taste']","['Assemble ingredients.', 'Dotdash Meredith Food Studios', 'Place carrots in a small saucepan and cover with water. Bring to a low boil and cook for 3 to 5 minutes. Stir in peas, then immediately drain in a colander.', 'Dotdash Meredith Food Studios', 'Heat a wok over high heat. Pour in vegetable oil, then stir in carrots, peas, and garlic; cook for about 30 seconds. Add eggs; stir quickly to scramble eggs with vegetables.', 'Dotdash Meredith Food Studios', 'Stir in cooked rice. Add soy sauce and toss rice to coat. Drizzle with sesame oil and toss again.', 'Dotdash Meredith Food Studios', 'Serve hot and enjoy!', 'DOTDASH MEREDITH FOOD STUDIOS']"
